1, 0.000217, 0, 881
1, 0.000117, 0, 423
1, 0.000000, 0, 239
1, 0.000271, 0, 846
1, 0.000142, 0, 490
1, 0.000099, 0, 399
1, 0.000000, 0, 250
1, 0.000152, 0, 776
1, 0.000192, 0, 801
1, 0.000189, 0, 952
1, 0.000074, 0, 515
1, 0.000069, 0, 492
1, 0.000172, 0, 773
1, 0.000000, 0, 289
1, 0.000171, 0, 799
1, 0.000314, 0, 918
1, 0.000071, 0, 291
1, 0.000087, 0, 508
1, 0.000067, 0, 336
1, 0.000186, 0, 849
1, 0.000175, 0, 940
1, 0.000175, 0, 539
1, 0.000349, 0, 1186
1, 0.001839, 0, 7561
1, 0.000199, 0, 932
1, 0.000251, 0, 1585
1, 0.000256, 0, 685
1, 0.000279, 0, 874
1, 0.000116, 0, 450
1, 0.000157, 0, 566
1, 0.000285, 0, 886
1, 0.000278, 0, 684
1, 0.000089, 0, 531
1, 0.000181, 0, 773
1, 0.000210, 0, 864
1, 0.000146, 0, 385
1, 0.000113, 0, 381
1, 0.000046, 0, 318
1, 0.000167, 0, 875
1, 0.000000, 0, 180
1, 0.000000, 0, 247
1, 0.000245, 0, 1061
1, 0.000232, 0, 652
1, 0.000047, 0, 368
1, 0.000201, 0, 674
1, 0.000019, 0, 303
1, 0.000470, 0, 1311
1, 0.000107, 0, 393
1, 0.000098, 0, 423
1, 0.000100, 0, 366
1, 0.000000, 0, 212
1, 0.000077, 0, 475
1, 0.000088, 0, 343
1, 0.000315, 0, 998
1, 0.000128, 0, 441
1, 0.000277, 0, 860
1, 0.000144, 0, 720
1, 0.000106, 0, 356
1, 0.000204, 0, 863
1, 0.000350, 0, 799
1, 0.000172, 0, 789
1, 0.000199, 0, 761
1, 0.000303, 0, 793
1, 0.000239, 0, 799
1, 0.000159, 0, 646
1, 0.000351, 0, 1034
1, 0.000095, 0, 393
1, 0.000260, 0, 748
1, 0.000239, 0, 990
1, 0.000235, 0, 785
1, 0.000122, 0, 450
1, 0.000094, 0, 355
1, 0.000232, 0, 773
